,predict,p0,p1,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Ct,churn,log_Credit_Limit,log_Avg_Open_To_Buy,log_Total_Trans_Amt,log_Avg_Utilization_Ratio,has_revolving_balance,joined_during_campaign,relationship_bin,inactivity_level,contact_level,txn_band,Avg_Utilization_Ratio
0,0,0.9669591750954928,0.0330408249045072,45,M,3,High School,Married,$60K - $80K,Blue,39,777,1144,42,0,9.448727152703086,9.385553389532843,7.0431599159883405,0.059211859631846,1,0,high,1,2,medium,0.061
1,0,0.9486798788614788,0.0513201211385211,49,F,5,Graduate,Single,Less than $40K,Blue,44,864,1291,33,0,9.01881660441743,8.9082888855571,7.163946684342547,0.0998453349697161,1,0,high,1,2,low,0.105
2,0,0.7564611393494493,0.2435388606505507,51,M,3,Graduate,Married,$80K - $120K,Blue,36,0,1887,20,0,8.137103389639302,8.137103389639302,7.543273346705446,0.0,0,1,high,1,0,low,0.0
3,0,0.8638299886459097,0.1361700113540903,40,F,4,High School,Unknown,Less than $40K,Blue,34,2517,1171,20,0,8.105911197986508,6.680854678790215,7.066466970136958,0.5653138090500605,1,0,medium,2,1,low,0.76
4,1,0.1655119865994745,0.8344880134005255,40,M,3,Uneducated,Married,$60K - $80K,Blue,21,0,816,28,0,8.458928283284262,8.458928283284262,6.705639094860003,0.0,0,0,high,1,0,low,0.0
5,0,0.9652684570295266,0.0347315429704734,44,M,2,Graduate,Married,$40K - $60K,Blue,36,1247,1088,24,0,8.296795865770052,7.92443418488756,6.9930151229329605,0.2707902047815628,1,1,medium,1,2,low,0.311
6,0,0.9822449533126638,0.0177550466873361,51,M,4,Unknown,Married,$120K +,Gold,46,2264,1330,31,0,10.44920723527944,10.381366341153338,7.193685818395112,0.0639133257436528,1,0,high,1,2,low,0.066
7,0,0.7342072833725521,0.2657927166274479,32,M,0,High School,Unknown,$60K - $80K,Silver,27,1396,1538,36,0,10.277874705073431,10.22868214924768,7.338888133838879,0.0468835858988504,1,0,low,1,2,low,0.048
8,0,0.9747276328539844,0.0252723671460155,37,M,3,Uneducated,Single,$60K - $80K,Blue,36,2517,1350,24,0,10.014715819221838,9.895253747609024,7.208600337960199,0.1070590722934077,1,1,high,1,0,low,0.113
9,0,0.9751533710300768,0.024846628969923,48,M,2,Graduate,Single,$80K - $120K,Blue,36,1677,1441,32,0,9.363662136919832,9.20833836930551,7.273786317844895,0.1345308929576061,1,1,high,1,2,low,0.144
10,0,0.9842330260731516,0.0157669739268484,42,M,5,Uneducated,Unknown,$120K +,Blue,31,1467,1201,42,0,8.817149624743406,8.572060092857077,7.091742115095153,0.1963888140053901,1,0,high,1,2,medium,0.217
11,0,0.993498246603532,0.0065017533964678,65,M,1,Unknown,Married,$40K - $60K,Blue,54,1587,1314,26,0,9.115590035430372,8.923857580099885,7.181591944611865,0.1604167214059046,1,0,high,1,2,low,0.174
12,0,0.7706821511397327,0.2293178488602673,56,M,1,College,Single,$80K - $120K,Blue,36,0,1539,17,0,9.371778717853712,9.371778717853712,7.339537695407675,0.0,0,1,medium,2,0,low,0.0
13,0,0.9954519261653256,0.0045480738346743,35,M,3,Graduate,Unknown,$60K - $80K,Blue,30,1666,1311,33,0,9.05345261643904,8.836664586357426,7.179307969504034,0.178146185383474,1,0,high,1,2,low,0.195
14,0,0.9808501378994688,0.0191498621005312,57,F,2,Graduate,Married,Less than $40K,Blue,48,680,1570,29,0,7.798523053625206,7.471363088187097,7.359467638255621,0.2460785225967056,1,0,high,1,2,low,0.279
15,0,0.9870551191972214,0.0129448808027785,44,M,4,Unknown,Unknown,$80K - $120K,Blue,37,972,1348,27,0,8.351138607086154,8.09040229659332,7.207118856207756,0.2070141693843261,1,0,high,1,2,low,0.23
16,0,0.927053605644398,0.072946394355602,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,2362,1671,27,0,10.321144701409654,10.240174051915725,7.421775793644647,0.0751074724868054,1,1,high,1,2,low,0.078
17,0,0.8773250520685376,0.1226749479314623,41,M,3,Unknown,Married,$80K - $120K,Blue,34,1291,1028,21,0,9.513108081846005,9.412872969386267,6.9363427358340495,0.0907543632684641,1,0,high,2,1,low,0.095
18,1,0.6177957183529428,0.3822042816470571,61,M,1,High School,Married,$40K - $60K,Blue,56,2517,1336,30,0,8.069029328774958,6.517671272912275,7.198183577101943,0.5810976767513224,1,0,low,1,2,low,0.788
19,0,0.988780140813233,0.011219859186767,45,F,2,Graduate,Married,Unknown,Blue,37,1157,1207,21,0,9.579901925737992,9.496571392160648,7.0967213784947605,0.0769610411361283,1,0,high,1,2,low,0.08
20,0,0.9963362513637838,0.0036637486362161,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,1800,1178,27,0,9.951324881950288,9.86162334843743,7.072421900537371,0.0825012215117436,1,0,high,1,0,low,0.086
21,1,0.0173907687231228,0.9826092312768772,62,F,0,Graduate,Married,Less than $40K,Blue,49,0,692,16,1,7.271912163268625,7.271912163268625,6.541029999189903,0.0,0,0,low,1,2,low,0.0
22,0,0.6699138488672793,0.3300861511327206,41,M,3,High School,Married,$40K - $60K,Blue,33,680,931,18,0,8.405367376233981,8.240385115516334,6.837332814685591,0.1414995622736995,1,0,high,1,1,low,0.152
23,0,0.958984000726212,0.0410159992737878,47,F,4,Unknown,Single,Less than $40K,Blue,36,1560,1126,23,0,7.821242083523558,6.838405200847344,7.027314514039777,0.4861230111256189,1,1,medium,1,2,low,0.626
24,0,0.8625983355217094,0.1374016644782906,54,M,2,Unknown,Married,$80K - $120K,Blue,42,0,1110,21,0,9.410665553209713,9.410665553209713,7.01301578963963,0.0,0,0,high,1,2,low,0.0
25,0,0.9642909155471128,0.0357090844528871,41,F,3,Graduate,Single,Less than $40K,Blue,28,1669,1051,22,0,8.95789673495042,8.716044050161402,6.9584483932976555,0.1947440767925117,1,0,high,1,2,low,0.215
26,0,0.99581304096444,0.00418695903556,59,M,1,High School,Unknown,$40K - $60K,Blue,46,1374,1197,23,0,9.601368432286575,9.50383054471094,7.088408778675395,0.0889262091944015,1,0,high,1,2,low,0.093
27,0,0.8975629590734447,0.1024370409265552,63,M,1,Unknown,Married,$60K - $80K,Blue,56,1010,1904,40,0,9.231710397712376,9.127610724377186,7.552237287560802,0.0944006754214843,1,0,medium,1,2,low,0.099
28,0,0.7889194526535579,0.2110805473464421,44,F,3,Uneducated,Single,Unknown,Blue,34,0,1052,18,0,9.220389707829185,9.220389707829185,6.959398512133975,0.0,0,0,high,1,2,low,0.0
